,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,1290.0524908132918,0.0,0.3048,31.7,0.0033126600000000003
1,947.6578548679242,12.3,0.1016,31.7,0.0418756
2,1828.8666984899012,4.0,0.3048,39.6,0.00579636
3,3897.089063233213,0.0,0.02540000000000002,31.7,0.0004394719999999998
4,6564.4854403125355,0.0,0.0508,55.5,0.0007619299999999992
5,11915.29912223259,4.8,0.02540000000000002,39.6,0.0009074749999999996
6,1071.2497267734464,15.4,0.0508,31.7,0.028985300000000002
7,417.02870272103064,7.3,0.2286,71.3,0.010440399999999999
8,1613.9102813246293,7.2,0.1524,71.3,0.00752039
9,1727.6590969795866,5.4,0.1524,31.7,0.00525474
10,9155.341157962264,0.0,0.0508,31.7,0.0008121640000000006
11,7842.2552527695625,3.0,0.3048,39.6,0.00495741
12,1799.3235413464981,12.7,0.02540000000000002,71.3,0.012180799999999999
13,2890.0554408935845,9.5,0.02540000000000002,71.3,0.004206539999999999
14,1600.3250048287023,7.3,0.2286,55.5,0.011170600000000001
15,20000.0,12.3,0.1016,39.6,0.04082680000000001
16,1316.2041369163235,5.3,0.2286,39.6,0.00614329
17,853.3368313764258,7.2,0.1524,39.6,0.00909175
18,1524.609317268341,2.0,0.2286,71.3,0.00293031
19,6992.889564919527,8.4,0.0508,55.5,0.00544854
20,2478.8192704095536,0.0,0.1524,39.6,0.0019328699999999997
21,12333.786765200526,0.0,0.0508,71.3,0.0007404779999999993
22,5756.005320196384,9.9,0.1524,31.7,0.025278500000000002
23,1967.1010360393284,2.0,0.2286,71.3,0.00293031
24,1273.0510114155204,15.4,0.0508,39.6,0.0282593
25,6245.858384130361,0.0,0.1016,39.6,0.0014633200000000006
26,6895.073177263206,4.2,0.0508,39.6,0.0015268899999999995
27,659.081014564536,5.3,0.2286,39.6,0.00614329
28,20000.0,12.3,0.1016,39.6,0.04082680000000001
29,200.0,15.6,0.1016,71.3,0.0437259
30,1351.7153792516183,17.4,0.02540000000000002,39.6,0.0172206
31,8512.959440358103,0.0,0.1524,71.3,0.001598800000000001
32,1794.1112110469699,7.2,0.1524,39.6,0.00909175
33,5144.584772712316,12.7,0.02540000000000002,39.6,0.013025299999999998
34,3996.2855450031784,4.0,0.3048,71.3,0.00497773
35,1534.2946253782095,8.9,0.1016,71.3,0.0103088
36,3963.3320457907753,0.0,0.0508,39.6,0.0007918219999999993
37,1415.2097790503537,5.3,0.2286,71.3,0.0051942
38,2259.670735449352,17.4,0.02540000000000002,39.6,0.0172206
39,6809.583276807383,12.3,0.1016,31.7,0.0418756
40,2373.777935824076,4.0,0.2286,71.3,0.00400603
41,3996.4986351024536,4.8,0.02540000000000002,55.5,0.0008732180000000003
42,1512.7228185113847,9.9,0.1524,71.3,0.019300099999999997
43,1700.8332575896845,15.4,0.0508,31.7,0.028985300000000002
44,840.7705123068135,4.0,0.3048,39.6,0.00579636
45,5423.252088515465,4.8,0.02540000000000002,55.5,0.0008732180000000003
46,849.8000346067388,15.4,0.0508,55.5,0.0271925
47,4365.539625055762,15.4,0.0508,55.5,0.0271925
48,10978.550424990379,0.0,0.1016,71.3,0.0012107200000000002
49,7377.840619305469,4.8,0.02540000000000002,71.3,0.0008486329999999997
50,1318.1980254832356,0.0,0.1016,31.7,0.0015009199999999993
51,8433.70586483725,1.5,0.3048,71.3,0.00336729
52,5355.343364010261,4.8,0.02540000000000002,39.6,0.0009074749999999996
53,364.27635858599706,9.9,0.1524,31.7,0.025278500000000002
54,1831.4305571778043,1.5,0.3048,71.3,0.00336729
55,2229.4689099295347,17.4,0.02540000000000002,31.7,0.017663099999999998
56,2271.810684341508,0.0,0.2286,31.7,0.0027238
57,1458.1967103190343,2.7,0.1524,39.6,0.002948039999999999
58,4324.743384019635,0.0,0.3048,31.7,0.0033126600000000003
59,4245.012955466926,4.0,0.2286,71.3,0.00400603
60,1695.303967598745,1.5,0.3048,71.3,0.00336729
61,6042.768707502559,0.0,0.0508,55.5,0.0007619299999999992
62,762.1772866330575,5.4,0.1524,31.7,0.00525474
63,2412.0309704099336,8.4,0.0508,71.3,0.00529514
64,4117.508618088905,2.0,0.2286,31.7,0.003723709999999999
65,1854.3596285287879,17.4,0.02540000000000002,31.7,0.017663099999999998
66,6552.082286095787,9.5,0.02540000000000002,71.3,0.004206539999999999
67,2114.075195109626,19.7,0.0508,71.3,0.034118300000000004
68,3401.5371830068666,0.0,0.1524,39.6,0.0019328699999999997
