,Frequency(prediction),Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,1710.904129604352,9.5,0.02540000000000002,71.3,0.004206539999999999
1,1710.904129604352,9.5,0.02540000000000002,71.3,0.004206539999999999
2,1710.904129604352,9.5,0.02540000000000002,71.3,0.004206539999999999
3,1710.904129604352,9.5,0.02540000000000002,71.3,0.004206539999999999
4,1710.904129604352,9.5,0.02540000000000002,71.3,0.004206539999999999
5,1564.7682666516105,9.5,0.02540000000000002,71.3,0.004206539999999999
6,1412.664325858129,9.5,0.02540000000000002,71.3,0.004206539999999999
7,1412.664325858129,9.5,0.02540000000000002,71.3,0.004206539999999999
8,1412.664325858129,9.5,0.02540000000000002,71.3,0.004206539999999999
9,1412.664325858129,9.5,0.02540000000000002,71.3,0.004206539999999999
10,1412.664325858129,9.5,0.02540000000000002,71.3,0.004206539999999999
11,1412.664325858129,9.5,0.02540000000000002,71.3,0.004206539999999999
12,1412.664325858129,9.5,0.02540000000000002,71.3,0.004206539999999999
13,1457.7097570284207,9.5,0.02540000000000002,71.3,0.004206539999999999
14,1446.4212339751368,9.5,0.02540000000000002,71.3,0.004206539999999999
15,1438.519267837838,9.5,0.02540000000000002,71.3,0.004206539999999999
16,1432.987891541729,9.5,0.02540000000000002,71.3,0.004206539999999999
17,1432.987891541729,9.5,0.02540000000000002,71.3,0.004206539999999999
18,1432.987891541729,9.5,0.02540000000000002,71.3,0.004206539999999999
19,1432.987891541729,9.5,0.02540000000000002,71.3,0.004206539999999999
20,1432.987891541729,9.5,0.02540000000000002,71.3,0.004206539999999999
21,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
22,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
23,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
24,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
25,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
26,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
27,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
28,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
29,1435.2763739809484,9.5,0.02540000000000002,71.3,0.004206539999999999
30,1435.2568458974135,9.5,0.02540000000000002,71.3,0.004206539999999999
31,1435.2568458974135,9.5,0.02540000000000002,71.3,0.004206539999999999
32,1435.2568458974135,9.5,0.02540000000000002,71.3,0.004206539999999999
33,1435.2568458974135,9.5,0.02540000000000002,71.3,0.004206539999999999
34,1435.2568458974135,9.5,0.02540000000000002,71.3,0.004206539999999999
35,1435.088966940264,9.5,0.02540000000000002,71.3,0.004206539999999999
36,1435.088966940264,9.5,0.02540000000000002,71.3,0.004206539999999999
37,1435.088966940264,9.5,0.02540000000000002,71.3,0.004206539999999999
38,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
39,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
40,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
41,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
42,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
43,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
44,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
45,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
46,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
47,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
48,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
49,1435.0346096379153,9.5,0.02540000000000002,71.3,0.004206539999999999
50,1435.0399319985718,9.5,0.02540000000000002,71.3,0.004206539999999999
51,1435.0399319985718,9.5,0.02540000000000002,71.3,0.004206539999999999
52,1435.0399319985718,9.5,0.02540000000000002,71.3,0.004206539999999999
53,1435.0399319985718,9.5,0.02540000000000002,71.3,0.004206539999999999
54,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
55,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
56,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
57,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
58,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
59,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
60,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
61,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
62,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
63,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
64,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
65,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
66,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
67,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
68,1435.0412873531616,9.5,0.02540000000000002,71.3,0.004206539999999999
