,Thermal Distress,Launch Temperature,Leak-Check Pressure(prediction)
0,0.0,66.0,53.734884132552196
1,0.0,76.0,201.03753958275414
2,0.0,67.0,198.97959721784105
3,0.0,70.0,150.7770231610837
4,2.0,53.0,193.14509906045242
5,0.0,66.0,53.79295486591869
6,0.0,70.0,150.76790544000647
7,0.0,72.0,113.21605881861866
8,2.0,75.0,208.41634680391562
9,1.0,58.0,70.68677233777693
10,0.0,67.0,199.12195951366178
11,0.0,69.0,169.89711846913582
12,1.0,63.0,102.75298764071805
13,1.0,63.0,102.75306073824174
14,1.0,57.0,68.96307908961427
15,0.0,72.0,113.22544668357686
16,1.0,70.0,196.98256665145237
17,0.0,68.0,196.03193611927392
18,1.0,70.0,131.7444199893404
19,0.0,79.0,194.56944720392977
20,0.0,73.0,91.99996534381165
21,0.0,70.0,150.77180429704202
22,0.0,81.0,190.53833452206914
23,0.0,76.0,201.0346617134407
24,0.0,75.0,203.17948006141546
25,1.0,70.0,131.74418473124922
26,0.0,73.0,92.00729514466767
27,0.0,78.0,196.7029205281474
28,0.0,81.0,190.49902636162335
29,1.0,57.0,201.51995909190174
30,2.0,53.0,193.1459415789544
31,0.0,75.0,203.1951723457232
