,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,8.0,390.0,190.0,3850.0,9.387807057949606,70.0,1.0
1,8.0,302.0,129.0,3169.0,24.300117837249758,75.0,1.0
2,4.0,98.0,83.0,2219.0,9.903168601609519,74.0,2.0
3,6.0,250.0,100.0,3282.0,9.751600952054009,71.0,1.0
4,8.0,455.0,225.0,4951.0,12.059693650494303,73.0,1.0
5,4.0,97.0,46.0,1950.0,21.579837791746083,73.0,2.0
6,8.0,350.0,175.0,4100.0,13.814870914219501,73.0,1.0
7,4.0,151.0,90.0,2678.0,14.51380194006837,80.0,1.0
8,4.0,134.0,90.0,2711.0,20.823175041377954,80.0,3.0
9,8.0,305.0,145.0,3880.0,9.354497737340406,77.0,1.0
10,4.0,115.0,95.0,2694.0,19.512750246632706,75.0,2.0
11,4.0,108.0,75.0,2265.0,9.24173404291355,80.0,3.0
12,8.0,302.0,140.0,4294.0,15.369792146486015,72.0,1.0
13,4.0,91.00000000000001,70.0,1955.0,22.960740260089832,71.0,1.0
14,8.0,305.0,145.0,3425.0,8.0,78.0,1.0
15,8.0,302.0,140.0,4638.0,12.328772063882214,74.0,1.0
16,6.0,198.0,95.0,3102.0,16.205480578185743,74.0,1.0
17,4.0,91.00000000000001,67.0,1850.0,24.8,80.0,3.0
18,4.0,98.0,80.0,2164.0,11.526330621367514,72.0,1.0
19,4.0,121.0,98.0,2945.0,13.014865459485312,75.0,2.0
20,8.0,429.0,198.0,4341.0,8.0,70.0,1.0
21,8.0,400.0,170.0,4746.0,11.741340716241455,71.0,1.0
22,4.0,121.0,112.0,2868.0,18.479825014166575,73.0,2.0
23,4.0,151.0,90.0,2556.0,8.0,79.0,1.0
24,8.0,360.0,215.0,4615.0,17.051408344902637,70.0,1.0
25,3.0,70.0,90.0,2124.0,13.40783902398858,73.0,3.0
26,8.0,267.0,125.0,3605.0,14.322782179527223,79.0,1.0
27,6.0,231.0,105.0,3380.0,15.745591130354923,78.0,1.0
28,6.0,231.0,115.0,3245.0,15.051766763420527,79.0,1.0
29,4.0,97.0,67.0,1985.0,16.91587812764284,77.0,3.0
30,8.0,302.0,139.0,3205.0,15.485361094734232,78.0,1.0
31,4.0,141.0,71.0,3190.0,22.14424564185149,79.0,2.0
32,8.0,350.0,180.0,4380.0,8.0,76.0,1.0
33,4.0,151.0,88.0,2740.0,15.637798636312528,77.0,1.0
34,5.0,131.0,103.0,2830.0,17.42716489098609,78.0,2.0
35,4.0,86.0,65.0,2019.0,12.638026602445471,80.0,3.0
36,4.0,140.0,92.0,2572.0,14.138571544259554,76.0,1.0
37,4.0,97.50000000000001,80.0,2126.0,16.635012531125934,72.0,1.0
38,6.0,225.0,105.0,3439.0,21.302109789192073,71.0,1.0
39,8.0,318.0,150.0,4135.0,10.440946314799806,72.0,1.0
40,4.0,140.0,78.0,2592.0,18.44088413199303,75.0,1.0
41,8.0,260.0,90.0,3420.0,8.0,79.0,1.0
42,4.0,120.0,88.0,2957.0,12.368704531204749,75.0,2.0
43,4.0,122.0,85.0,2310.0,23.74447938135455,73.0,1.0
44,4.0,119.0,97.0,2405.0,12.306139579542666,78.0,3.0
45,4.0,140.0,72.0,2408.0,17.884393895839445,71.0,1.0
46,8.0,302.0,130.0,4295.0,20.495567182418355,77.0,1.0
47,4.0,98.0,70.0,2120.0,18.46897260447796,80.0,1.0
48,4.0,79.0,67.0,1963.0,17.62879141891622,74.0,2.0
49,4.0,120.0,97.0,2489.0,10.161487620774071,74.0,3.0
