,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,4.0,247.94643102909373,88.0,2100.0,16.5,72.0,3.0
1,6.0,139.31428249132085,100.0,3233.0,15.4,76.0,1.0
2,4.0,62.528424402230854,75.0,2542.0,17.0,74.0,1.0
3,4.0,432.35968545990323,68.0,2155.0,16.5,78.0,1.0
4,6.0,70.1371112981627,115.0,2700.0,12.9,79.0,1.0
5,4.0,440.92783080550555,93.0,2391.0,15.5,74.0,3.0
6,4.0,125.47629483857844,80.0,1915.0,14.4,79.0,1.0
7,6.0,178.56109734030517,85.0,2587.0,16.0,70.0,1.0
8,4.0,104.36545833232823,80.0,2155.0,14.8,77.0,1.0
9,4.0,293.851356509064,65.0,2020.0,19.2,79.0,3.0
10,4.0,304.3512768822284,70.0,2074.0,19.5,71.0,2.0
11,8.0,129.81493953931255,145.0,4082.0,13.0,73.0,1.0
12,4.0,62.528424402230854,64.0,1875.0,16.4,81.0,1.0
13,4.0,177.4162599153224,58.0,1825.0,18.6,77.0,2.0
14,4.0,402.01276154911386,82.0,2720.0,19.4,82.0,1.0
15,8.0,450.4678880059593,150.0,4257.0,15.5,74.0,1.0
16,4.0,187.9371074009171,90.0,2711.0,15.5,80.0,3.0
17,6.0,260.8322484470316,100.0,3630.0,17.7,77.0,1.0
18,6.0,312.2704144276007,100.0,3278.0,18.0,73.0,1.0
19,8.0,98.22261015669038,140.0,4215.0,13.0,76.0,1.0
20,8.0,217.30531050544354,150.0,4699.0,14.5,74.0,1.0
21,4.0,135.04424536240472,75.0,2125.0,14.5,74.0,1.0
22,8.0,261.63135986330656,175.0,4464.0,11.5,71.0,1.0
23,8.0,377.8492958514888,150.0,4077.0,14.0,72.0,1.0
24,4.0,132.76456253318446,105.0,2800.0,14.4,80.0,1.0
25,6.0,200.2007763542976,85.0,3070.0,16.7,78.0,1.0
26,6.0,207.70435297946133,95.0,3155.0,18.2,78.0,1.0
27,4.0,308.90501823116495,88.0,2890.0,17.3,79.0,1.0
28,4.0,184.0892985429024,96.0,2702.0,13.5,75.0,3.0
29,4.0,195.4160563477344,83.0,2202.0,15.3,76.0,2.0
30,8.0,331.8450522838123,200.0,4376.0,15.0,70.0,1.0
31,8.0,422.4001434005255,145.0,3425.0,13.2,78.0,1.0
32,4.0,267.1193617174559,85.0,2855.0,17.6,78.0,1.0
33,6.0,166.85137873260976,107.0,2472.0,14.0,73.0,1.0
34,4.0,364.6910101374594,94.0,2379.0,16.5,73.0,3.0
35,4.0,253.1715871810727,84.0,2490.0,15.7,81.0,1.0
36,6.0,153.34378120997565,85.0,3465.0,16.6,81.0,1.0
37,4.0,327.33032609027083,81.0,2220.0,16.9,76.0,2.0
38,4.0,198.86788280545795,115.0,2671.0,13.5,75.0,2.0
39,8.0,440.92783080550555,167.0,4906.0,12.5,73.0,1.0
40,6.0,304.70306633235737,100.0,3781.0,17.0,74.0,1.0
41,6.0,388.25586934434034,97.0,2984.0,14.5,75.0,1.0
42,8.0,444.1810703495491,150.0,3777.0,12.5,73.0,1.0
43,4.0,141.11497669114277,60.0,1834.0,19.0,71.0,2.0
44,4.0,97.40403101931813,100.0,2615.0,14.8,81.0,3.0
45,4.0,325.1187418394781,67.0,1950.0,19.0,74.0,3.0
46,8.0,318.1856874010978,198.0,4341.0,10.0,70.0,1.0
47,8.0,250.64719614077546,165.0,4274.0,12.0,72.0,1.0
48,6.0,225.3321364695579,100.0,2634.0,13.0,71.0,1.0
49,8.0,454.54589345737236,145.0,4055.0,12.0,76.0,1.0
50,6.0,187.89567881447974,90.0,3265.0,18.2,79.0,1.0
51,4.0,135.58494273589014,95.0,2560.0,14.2,78.0,3.0
52,6.0,111.14410652631379,81.0,3012.0,17.6,76.0,1.0
53,8.0,207.48709645475466,139.0,3205.0,11.2,78.0,1.0
54,8.0,245.87738719529932,129.0,3169.0,12.0,75.0,1.0
55,8.0,150.32032261211995,150.0,4190.0,13.0,76.0,1.0
56,8.0,207.26078765138365,170.0,4668.0,11.5,75.0,1.0
57,6.0,181.65482611786257,100.0,2901.0,16.0,74.0,1.0
58,4.0,111.73110280012381,75.0,2230.0,14.5,78.0,1.0
59,4.0,219.357321168181,88.0,2740.0,16.0,77.0,1.0
60,8.0,452.60912158396513,180.0,4955.0,11.5,71.0,1.0
61,8.0,307.5243698064984,150.0,3433.0,12.0,70.0,1.0
62,8.0,440.92783080550555,150.0,3761.0,9.5,70.0,1.0
63,6.0,136.93896788387198,105.0,3353.0,14.5,76.0,1.0
64,4.0,312.3222042285187,65.0,1836.0,21.0,74.0,3.0
65,4.0,197.1115088426524,88.0,2130.0,14.5,70.0,3.0
66,8.0,169.16317010234133,150.0,3892.0,12.5,72.0,1.0
67,4.0,275.38109793326765,70.0,1990.0,17.0,76.0,3.0
68,6.0,241.7758037022739,100.0,3288.0,15.5,71.0,1.0
69,6.0,275.81208006614696,72.0,3432.0,21.0,75.0,1.0
70,8.0,62.528424402230854,90.0,3420.0,22.2,79.0,1.0
71,4.0,176.56660858937227,89.0,2755.0,15.8,77.0,1.0
72,4.0,141.01969568173044,65.0,2110.0,19.2,80.0,3.0
73,8.0,251.3276082196465,193.0,4732.0,18.5,70.0,1.0
74,4.0,163.8373109627239,78.0,2190.0,14.1,77.0,2.0
75,8.0,131.13900189303422,150.0,4135.0,13.5,72.0,1.0
76,4.0,324.9119191992485,112.0,2933.0,14.5,72.0,2.0
77,8.0,95.2412081228597,150.0,4498.0,14.5,75.0,1.0
78,4.0,357.8279648022016,52.0,2035.0,22.2,76.0,1.0
