,bore
29,3.6
153,3.05
33,2.91
80,3.17
34,2.91
169,3.62
74,3.8
42,3.15
107,3.46
47,3.63
11,3.5
57,3.3297512437810943
202,3.58
23,3.03
99,3.33
160,3.19
4,3.19
142,3.62
56,3.3297512437810943
129,3.94
203,3.01
190,3.19
163,3.19
35,2.91
170,3.62
173,3.31
58,3.3297512437810943
108,3.7
199,3.62
188,3.19
111,3.46
123,3.35
32,2.91
55,3.3297512437810943
128,3.74
62,3.39
69,3.58
75,3.78
165,3.24
110,3.7
204,3.78
66,3.43
14,3.31
83,3.59
120,2.97
171,3.62
186,3.19
135,3.54
166,3.24
40,3.15
76,2.97
136,3.54
89,3.15
167,3.62
93,3.15
193,3.19
10,3.5
115,3.46
150,3.05
156,3.19
189,3.19
0,3.47
7,3.19
106,3.43
21,2.97
78,2.97
28,3.34
72,3.46
87,3.17
114,3.7
196,3.78
174,3.27
181,3.27
201,3.78
198,3.62
61,3.39
179,3.27
53,3.03
161,3.19
94,3.15
2,2.68
145,3.62
149,3.62
79,3.03
116,3.7
26,2.97
12,3.31
148,3.62
109,3.46
31,2.91
124,3.59
45,3.03
113,3.46
6,3.19
180,3.27
105,3.43
64,3.39
118,2.97
130,3.46
70,3.58
84,3.59
96,3.15
138,3.62
151,3.05
17,3.62
112,3.7
126,3.74
157,3.19
134,2.54
88,3.17
103,3.43
22,2.97
77,2.97
43,3.31
137,3.54
92,3.15
85,3.35
119,3.03
183,3.19
90,2.99
127,3.74
71,3.46
176,3.31
125,3.94
121,2.97
154,3.05
117,3.61
197,3.78
131,3.46
37,3.15
172,3.62
155,3.05
49,3.54
184,3.01
141,3.62
91,3.15
102,3.43
178,3.27
27,3.03
158,3.27
38,3.15
44,3.03
39,3.15
