,Frequency,Angle_of_Attack,Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,4000.0,4.2,0.0508,71.3,0.0014278799999999994
1,999.9999999999998,3.3,0.1016,71.3,0.0020282200000000007
2,200.0,7.3,0.2286,31.7,0.0132672
3,2500.0,2.0,0.2286,71.3,0.00293031
4,4000.0,4.8,0.02540000000000002,71.3,0.0008486329999999997
5,2000.0,2.7,0.1524,39.6,0.002948039999999999
6,500.0,5.3,0.2286,39.6,0.00614329
7,2000.0,15.4,0.0508,55.5,0.0271925
8,800.0,15.4,0.0508,71.3,0.0264269
9,2000.0,9.5,0.02540000000000002,71.3,0.004206539999999999
10,3150.0,0.0,0.1524,71.3,0.001598800000000001
11,800.0,17.4,0.02540000000000002,31.7,0.017663099999999998
12,3150.0,15.4,0.0508,39.6,0.0282593
13,2000.0,6.7,0.1016,39.6,0.00578076
14,800.0,7.2,0.1524,71.3,0.00752039
15,6300.0,7.3,0.2286,39.6,0.0123481
16,2000.0,5.4,0.1524,31.7,0.00525474
17,20000.0,0.0,0.02540000000000002,55.5,0.0004122899999999992
18,3150.0,11.2,0.0508,39.6,0.015047799999999998
19,800.0,7.3,0.2286,31.7,0.0132672
20,500.0,19.7,0.0508,39.6,0.036483999999999996
21,16000.0,0.0,0.02540000000000002,31.7,0.0004394719999999998
22,1250.0,0.0,0.2286,71.3,0.00214345
23,315.0,15.6,0.1016,39.6,0.0528487
24,500.0,11.2,0.0508,71.3,0.014072
25,3150.0,15.4,0.0508,71.3,0.0264269
26,16000.0,4.8,0.02540000000000002,55.5,0.0008732180000000003
27,999.9999999999998,7.3,0.2286,71.3,0.010440399999999999
28,5000.0,5.3,0.2286,39.6,0.00614329
29,500.0,4.0,0.3048,39.6,0.00579636
30,250.0,12.3,0.1016,71.3,0.033779199999999995
31,200.0,15.4,0.0508,71.3,0.0264269
32,1250.0,15.4,0.0508,71.3,0.0264269
33,630.0,3.3,0.1016,55.5,0.0022109999999999994
34,1600.0,0.0,0.1016,71.3,0.0012107200000000002
35,3150.0,3.3,0.1016,39.6,0.0024513799999999995
36,250.0,9.9,0.1524,71.3,0.019300099999999997
37,1600.0,2.0,0.2286,55.5,0.003135249999999999
38,1600.0,9.9,0.1524,31.7,0.025278500000000002
39,1600.0,5.4,0.1524,55.5,0.00433288
40,999.9999999999998,0.0,0.1524,31.7,0.00209405
41,4000.0,5.3,0.2286,39.6,0.00614329
