,Thermal Distress,Launch Temperature,Leak-Check Pressure
0,0.0,66.0,50.0
1,0.0,76.0,200.0
2,0.0,67.0,50.0
3,0.0,70.0,100.0
4,2.0,53.0,200.0
5,0.0,66.0,50.0
6,0.0,70.0,200.0
7,0.0,72.0,50.0
8,2.0,75.0,200.0
9,1.0,58.0,200.0
10,0.0,67.0,200.0
11,0.0,69.0,50.0
12,1.0,63.0,200.0
13,1.0,63.0,200.0
14,1.0,57.0,200.0
15,0.0,72.0,50.0
16,1.0,70.0,200.0
17,0.0,68.0,50.0
18,1.0,70.0,200.0
19,0.0,79.0,200.0
20,0.0,73.0,100.0
21,0.0,70.0,100.0
22,0.0,81.0,200.0
23,0.0,76.0,200.0
24,0.0,75.0,200.0
25,1.0,70.0,50.0
26,0.0,73.0,100.0
27,0.0,78.0,200.0
28,0.0,81.0,200.0
29,1.0,57.0,200.0
30,2.0,53.0,200.0
31,0.0,75.0,200.0
