,Thermal Distress,Launch Temperature,Leak-Check Pressure(prediction)
0,0.0,72.0,166.9878188360172
1,0.0,72.0,166.9878188360172
2,0.0,72.0,166.9878188360172
3,0.0,72.0,166.9878188360172
4,0.0,72.0,166.9878188360172
5,0.0,72.0,166.9878188360172
6,0.0,72.0,166.9878188360172
7,0.0,72.0,166.9878188360172
8,0.0,72.0,166.9878188360172
9,0.0,72.0,166.9878188360172
10,0.0,72.0,166.9878188360172
11,0.0,72.0,166.9878188360172
12,0.0,72.0,166.9878188360172
13,0.0,72.0,166.9878188360172
14,0.0,72.0,166.9878188360172
15,0.0,72.0,166.9878188360172
16,0.0,72.0,166.9878188360172
17,0.0,72.0,166.9878188360172
18,0.0,72.0,166.9878188360172
19,0.0,72.0,166.9878188360172
20,0.0,72.0,166.9878188360172
21,0.0,72.0,166.9878188360172
22,0.0,72.0,166.9878188360172
23,0.0,72.0,166.9878188360172
24,0.0,72.0,166.9878188360172
25,0.0,72.0,166.9878188360172
26,0.0,72.0,166.9878188360172
27,0.0,72.0,166.9878188360172
28,0.0,72.0,166.9878188360172
29,0.0,72.0,166.9878188360172
30,0.0,72.0,166.9878188360172
31,0.0,72.0,166.9878188360172
32,0.0,72.0,166.9878188360172
33,0.0,72.0,166.9878188360172
34,0.0,72.0,166.9878188360172
35,0.0,72.0,166.9878188360172
36,0.0,72.0,166.9878188360172
37,0.0,72.0,166.9878188360172
38,0.0,72.0,166.9878188360172
39,0.0,72.0,166.9878188360172
40,0.0,72.0,166.9878188360172
41,0.0,72.0,166.9878188360172
42,0.0,72.0,166.9878188360172
43,0.0,72.0,166.9878188360172
44,0.0,72.0,166.9878188360172
45,0.0,72.0,166.9878188360172
46,0.0,72.0,166.9878188360172
47,0.0,72.0,166.9878188360172
48,0.0,72.0,166.9878188360172
49,0.0,72.0,166.9878188360172
50,0.0,72.0,166.9878188360172
51,0.0,72.0,166.9878188360172
52,0.0,72.0,166.9878188360172
53,0.0,72.0,166.9878188360172
54,0.0,72.0,166.9878188360172
55,0.0,72.0,166.9878188360172
56,0.0,72.0,166.9878188360172
57,0.0,72.0,166.9878188360172
58,0.0,72.0,166.9878188360172
59,0.0,72.0,166.9878188360172
60,0.0,72.0,166.9878188360172
61,0.0,72.0,166.9878188360172
62,0.0,72.0,166.9878188360172
63,0.0,72.0,166.9878188360172
64,0.0,72.0,166.9878188360172
65,0.0,72.0,166.9878188360172
66,0.0,72.0,166.9878188360172
67,0.0,72.0,166.9878188360172
68,0.0,72.0,166.9878188360172
69,0.0,72.0,166.9878188360172
70,0.0,72.0,166.9878188360172
71,0.0,72.0,166.9878188360172
72,0.0,72.0,166.9878188360172
73,0.0,72.0,166.9878188360172
74,0.0,72.0,166.9878188360172
75,0.0,72.0,166.9878188360172
76,0.0,72.0,166.9878188360172
77,0.0,72.0,166.9878188360172
78,0.0,72.0,166.9878188360172
79,0.0,72.0,166.9878188360172
80,0.0,72.0,166.9878188360172
81,0.0,72.0,166.9878188360172
82,0.0,72.0,166.9878188360172
83,0.0,72.0,166.9878188360172
84,0.0,72.0,166.9878188360172
85,0.0,72.0,166.9878188360172
86,0.0,72.0,166.9878188360172
87,0.0,72.0,166.9878188360172
88,0.0,72.0,166.9878188360172
89,0.0,72.0,166.9878188360172
90,0.0,72.0,166.9878188360172
91,0.0,72.0,166.9878188360172
92,0.0,72.0,166.9878188360172
93,0.0,72.0,166.9878188360172
94,0.0,72.0,166.9878188360172
95,0.0,72.0,166.9878188360172
96,0.0,72.0,166.9878188360172
97,0.0,72.0,166.9878188360172
98,0.0,72.0,166.9878188360172
99,0.0,72.0,166.9878188360172
100,0.0,72.0,166.9878188360172
101,0.0,72.0,166.9878188360172
102,0.0,72.0,166.9878188360172
103,0.0,72.0,166.9878188360172
104,0.0,72.0,166.9878188360172
105,0.0,72.0,166.9878188360172
106,0.0,72.0,166.9878188360172
107,0.0,72.0,166.9878188360172
108,0.0,72.0,166.9878188360172
109,0.0,72.0,166.9878188360172
110,0.0,72.0,166.9878188360172
111,0.0,72.0,166.9878188360172
112,0.0,72.0,166.9878188360172
113,0.0,72.0,166.9878188360172
114,0.0,72.0,166.9878188360172
115,0.0,72.0,166.9878188360172
116,0.0,72.0,166.9878188360172
117,0.0,72.0,166.9878188360172
118,0.0,72.0,166.9878188360172
119,0.0,72.0,166.9878188360172
120,0.0,72.0,166.9878188360172
121,0.0,72.0,166.9878188360172
122,0.0,72.0,166.9878188360172
123,0.0,72.0,166.9878188360172
124,0.0,72.0,166.9878188360172
125,0.0,72.0,166.9878188360172
126,0.0,72.0,166.9878188360172
127,0.0,72.0,166.9878188360172
128,0.0,72.0,166.9878188360172
129,0.0,72.0,166.9878188360172
130,0.0,72.0,166.9878188360172
131,0.0,72.0,166.9878188360172
132,0.0,72.0,166.9878188360172
133,0.0,72.0,166.9878188360172
134,0.0,72.0,166.9878188360172
135,0.0,72.0,166.9878188360172
136,0.0,72.0,166.9878188360172
137,0.0,72.0,166.9878188360172
138,0.0,72.0,166.9878188360172
139,0.0,72.0,166.9878188360172
140,0.0,72.0,166.9878188360172
141,0.0,72.0,166.9878188360172
142,0.0,72.0,166.9878188360172
143,0.0,72.0,166.9878188360172
144,0.0,72.0,166.9878188360172
145,0.0,72.0,166.9878188360172
146,0.0,72.0,166.9878188360172
147,0.0,72.0,166.9878188360172
148,0.0,72.0,166.9878188360172
149,0.0,72.0,166.9878188360172
150,0.0,72.0,166.9878188360172
151,0.0,72.0,166.9878188360172
152,0.0,72.0,166.9878188360172
153,0.0,72.0,166.9878188360172
154,0.0,72.0,166.9878188360172
155,0.0,72.0,166.9878188360172
156,0.0,72.0,166.9878188360172
157,0.0,72.0,166.9878188360172
158,0.0,72.0,166.9878188360172
159,0.0,72.0,166.9878188360172
160,0.0,72.0,166.9878188360172
161,0.0,72.0,166.9878188360172
162,0.0,72.0,166.9878188360172
