,price
0,0.1947768233950648
1,0.044684970954768866
2,0.035028052231766055
3,0.12017774688446453
4,0.049923042550022334
5,0.12092249640037733
6,1.0
7,0.12976019065587607
8,0.16836304056402362
9,0.6735514621915497
10,0.2931085844794201
11,0.21168263740628568
12,0.4063105108981679
13,0.07047812918921603
14,0.09510451318206642
15,0.06504145772305248
16,0.30614170100789434
17,0.06595998212601162
18,0.1669976664515168
19,0.20080929447395857
20,0.43076312000397204
21,0.1206990715456035
22,0.07298545255945582
23,0.05404398987140657
24,0.15096072687552753
25,0.09507968819820267
26,0.2613326051338067
27,0.20063551958691228
28,0.3433791768035351
29,0.1210714463035599
30,0.25971898118266223
31,0.09440941363388114
32,0.006975820465716681
33,0.14465518097413238
34,0.7921652350925972
35,0.12727769226950003
36,0.5724144779305893
37,0.2826324412889132
38,0.10376843255051885
39,0.2170200089369942
40,0.4346109925028549
41,0.32833523658209623
42,0.48277146119855024
43,0.2420684176555285
44,0.0275805570726379
45,0.15964947122784368
46,0.08383397050791916
47,0.257981232312199
48,0.10972642867782137
49,0.12851894146268805
50,0.006727570627079071
51,0.3235191897125267
52,0.00945831885209275
53,0.08269202125018618
54,0.05538453900004964
55,0.1780447842708902
56,0.28082021746685865
57,0.28578521423961073
58,0.005709746288664913
59,0.045181470632044085
60,0.1607914204855767
61,0.20795888982672162
62,0.3426344272876223
63,0.32970061069460305
64,0.01127054267414726
65,0.03850354997269251
66,0.09440941363388114
67,0.7432103669132615
68,0.1032967578571074
69,0.2968323320589842
70,0.26977309964748525
71,0.13852340995978352
72,0.2639392284395015
73,0.34573755027059233
74,0.330221935355742
75,0.13596643662181618
76,0.2700958244377141
77,0.03914899955315029
78,0.08043294771858397
79,0.054143289806861616
80,0.2825579663373219
81,0.15245022590735313
82,0.16324909388808895
83,0.0638250335137282
84,0.3185541929397746
85,0.06183903480462738
86,0.3935256442083313
87,0.07186832828558662
88,0.18176853185045427
89,0.043120996971351966
90,0.18981182662231272
91,0.20080929447395857
92,0.2873988381907552
93,0.3125961968124721
94,0.2624497294076759
95,0.3619730897174917
96,0.1521026761332605
97,0.01127054267414726
98,0.10369395759892755
99,0.6574152226801053
100,0.23263492378729955
101,0.05910828657961373
102,0.0
103,0.030286480313787778
104,0.7884911374807606
105,0.29248795988282605
106,0.6804528077056751
107,0.0516359664366218
108,0.24631348989623159
109,0.1032967578571074
110,0.20805818976217666
111,0.03125465468447444
112,0.026587557718087462
113,0.041383248100888725
114,0.3351869321284941
115,0.0429720470681694
116,0.04644754480909585
117,0.07047812918921603
118,0.0709249788987637
119,0.04917829303410953
120,0.7176902835013157
121,0.7215629809840625
122,0.1434884067325356
123,0.41954222729755225
124,0.039074524601558996
125,0.06901345514125415
126,0.3235191897125267
127,0.2829303410952783
128,0.11858894791718386
129,0.06893898018966288
130,0.3115783724740579
131,0.09085944094136339
132,0.7666451516806514
133,0.07142147857603892
134,0.049848567598431065
135,0.03800705029541729
136,0.2304006752395611
137,0.28399781540142
138,0.08539794449133609
139,0.06901345514125415
140,0.09872896082617547
141,0.20080929447395857
142,0.09252271486023533
