,Thermal Distress,Launch Temperature(prediction),Leak-Check Pressure
0,0.0,65.27545848034502,50.0
1,0.0,73.9629080314498,200.0
2,0.0,73.4028109252586,50.0
3,0.0,54.97282104664382,100.0
4,2.0,53.60308169818615,200.0
5,0.0,72.63356180014829,50.0
6,0.0,73.91260382084904,200.0
7,0.0,73.18362811185855,50.0
8,2.0,78.28105282748133,200.0
9,1.0,66.99404335722949,200.0
10,0.0,66.10827402100996,200.0
11,0.0,71.38801740080751,50.0
12,1.0,63.001589884684236,200.0
13,1.0,66.91279019228041,200.0
14,1.0,70.48459669292232,200.0
15,0.0,80.67209525624511,50.0
16,1.0,58.21725208458124,200.0
17,0.0,68.75384588893061,50.0
18,1.0,55.41733177635547,200.0
19,0.0,71.01567267924997,200.0
20,0.0,73.09009603969785,100.0
21,0.0,61.44243890597618,100.0
22,0.0,71.41652732228347,200.0
23,0.0,78.33570845164955,200.0
24,0.0,66.31911204683595,200.0
25,1.0,69.13990006182561,50.0
26,0.0,66.00514510668397,100.0
27,0.0,73.22267174812119,200.0
28,0.0,62.96248956384222,200.0
29,1.0,64.75098402841995,200.0
30,2.0,80.61057060719466,200.0
31,0.0,66.9861075768025,200.0
