,price
0,12964.0
1,6918.0
2,6529.000000000001
3,9959.0
4,7129.0
5,9989.0
6,45399.99999999999
7,10345.0
8,11900.0
9,32250.000000000004
10,16925.0
11,13645.0
12,21485.0
13,7957.0
14,8949.0
15,7738.0
16,17450.0
17,7775.0
18,11845.0
19,13206.999999999998
20,22470.0
21,9980.0
22,8058.0
23,7295.0
24,11199.0
25,8948.0
26,15645.0
27,13200.0
28,18950.0
29,9995.0
30,15580.0
31,8921.0
32,5399.0
33,10945.0
34,37027.99999999999
35,10245.0
36,28175.999999999996
37,16503.0
38,9298.0
39,13860.0
40,22625.0
41,18344.0
42,24565.0
43,14868.999999999998
44,6229.0
45,11548.999999999998
46,8495.0
47,15510.0
48,9538.0
49,10295.0
50,5388.999999999999
51,18150.0
52,5499.000000000001
53,8449.0
54,7349.0
55,12290.0
56,16430.0
57,16630.0
58,5348.0
59,6938.0
60,11595.000000000002
61,13495.0
62,18920.0
63,18399.0
64,5572.0
65,6669.0
66,8921.0
67,35055.99999999999
68,9279.0
69,17075.0
70,15985.0
71,10698.0
72,15750.0
73,19045.0
74,18420.0
75,10595.0
76,15998.0
77,6695.0
78,8358.0
79,7299.0
80,16500.0
81,11258.999999999998
82,11693.999999999998
83,7689.0
84,17950.0
85,7609.0
86,20970.0
87,8013.0
88,12439.999999999998
89,6855.0
90,12764.0
91,13206.999999999998
92,16695.0
93,17710.0
94,15690.000000000002
95,19699.0
96,11245.0
97,5572.0
98,9295.0
99,31600.0
100,14489.0
101,7499.0
102,5118.0
103,6338.0
104,36879.99999999999
105,16900.0
106,32528.0
107,7198.0
108,15040.0
109,9279.0
110,13499.0
111,6377.0
112,6188.999999999999
113,6785.0
114,18620.0
115,6849.0
116,6988.999999999999
117,7957.0
118,7975.0
119,7099.000000000001
120,34027.99999999999
121,34184.0
122,10898.0
123,22018.0
124,6692.0
125,7898.0
126,18150.0
127,16515.0
128,9895.0
129,7895.0
130,17669.0
131,8778.0
132,35999.99999999999
133,7995.0
134,7126.0
135,6648.999999999999
136,14399.0
137,16558.0
138,8558.0
139,7898.0
140,9095.0
141,13206.999999999998
142,8845.0
