,Frequency
0,0.1919191919191919
1,0.0404040404040404
2,0.0
3,0.11616161616161617
4,0.1919191919191919
5,0.09090909090909091
6,0.015151515151515152
7,0.09090909090909091
8,0.0303030303030303
9,0.09090909090909091
10,0.14898989898989898
11,0.0303030303030303
12,0.14898989898989898
13,0.09090909090909091
14,0.0303030303030303
15,0.30808080808080807
16,0.09090909090909091
17,1.0
18,0.14898989898989898
19,0.0303030303030303
20,0.015151515151515152
21,0.797979797979798
22,0.05303030303030304
23,0.005808080808080807
24,0.015151515151515152
25,0.14898989898989898
26,0.797979797979798
27,0.0404040404040404
28,0.24242424242424243
29,0.015151515151515152
30,0.002525252525252526
31,0.0
32,0.05303030303030304
33,0.021717171717171715
34,0.0707070707070707
35,0.14898989898989898
36,0.002525252525252526
37,0.0707070707070707
38,0.0707070707070707
39,0.0707070707070707
40,0.0404040404040404
41,0.1919191919191919
42,0.0707070707070707
43,0.494949494949495
44,0.1919191919191919
45,0.05303030303030304
46,0.24242424242424243
47,0.24242424242424243
48,0.0707070707070707
49,0.11616161616161617
50,0.002525252525252526
51,0.24242424242424243
52,0.14898989898989898
53,0.0707070707070707
54,0.015151515151515152
55,0.0101010101010101
56,0.021717171717171715
57,0.0303030303030303
58,0.11616161616161617
59,0.005808080808080807
60,0.0707070707070707
61,0.24242424242424243
62,0.24242424242424243
63,0.005808080808080807
64,0.015151515151515152
65,0.1919191919191919
66,0.11616161616161617
67,0.14898989898989898
68,0.14898989898989898
69,0.05303030303030304
70,0.14898989898989898
71,0.015151515151515152
72,0.0303030303030303
73,0.015151515151515152
74,0.0303030303030303
75,0.015151515151515152
76,0.0303030303030303
77,0.0404040404040404
78,0.14898989898989898
79,0.0303030303030303
80,0.14898989898989898
81,0.05303030303030304
82,0.0707070707070707
83,0.09090909090909091
84,0.015151515151515152
85,0.494949494949495
86,0.05303030303030304
87,0.30808080808080807
88,0.11616161616161617
89,0.1919191919191919
90,0.11616161616161617
91,0.021717171717171715
92,0.0707070707070707
93,0.3939393939393939
94,0.1919191919191919
95,0.05303030303030304
96,0.0404040404040404
97,0.0303030303030303
98,0.0404040404040404
99,0.1919191919191919
100,0.11616161616161617
101,0.021717171717171715
102,0.30808080808080807
103,0.11616161616161617
104,0.015151515151515152
105,0.09090909090909091
106,0.11616161616161617
107,0.30808080808080807
108,0.14898989898989898
109,0.021717171717171715
110,0.14898989898989898
111,0.30808080808080807
112,0.015151515151515152
113,0.015151515151515152
114,0.05303030303030304
115,0.3939393939393939
116,0.24242424242424243
117,0.015151515151515152
118,0.6212121212121212
119,0.0707070707070707
120,0.14898989898989898
121,0.30808080808080807
122,0.05303030303030304
123,0.05303030303030304
124,0.05303030303030304
125,0.0707070707070707
126,0.0101010101010101
127,0.005808080808080807
128,0.11616161616161617
129,0.0707070707070707
130,0.021717171717171715
131,0.1919191919191919
132,0.0707070707070707
133,0.05303030303030304
134,0.14898989898989898
135,0.1919191919191919
136,0.24242424242424243
137,0.30808080808080807
138,0.3939393939393939
139,0.11616161616161617
140,0.002525252525252526
141,0.24242424242424243
142,0.021717171717171715
143,0.0404040404040404
144,0.021717171717171715
145,0.0404040404040404
146,0.015151515151515152
147,0.3939393939393939
148,0.24242424242424243
149,0.3939393939393939
150,0.021717171717171715
151,0.11616161616161617
152,0.09090909090909091
153,0.005808080808080807
154,0.24242424242424243
155,0.6212121212121212
156,0.11616161616161617
157,0.05303030303030304
158,0.05303030303030304
159,0.0101010101010101
160,0.0101010101010101
161,0.0404040404040404
162,0.0404040404040404
163,0.14898989898989898
164,0.11616161616161617
165,0.11616161616161617
166,0.3939393939393939
167,0.0
168,0.1919191919191919
169,0.015151515151515152
170,0.14898989898989898
171,0.021717171717171715
172,0.11616161616161617
173,0.015151515151515152
174,0.09090909090909091
175,0.0303030303030303
176,0.1919191919191919
177,0.005808080808080807
178,0.0707070707070707
179,0.494949494949495
180,0.005808080808080807
181,0.002525252525252526
182,0.1919191919191919
183,0.0101010101010101
184,0.11616161616161617
185,0.015151515151515152
186,0.0404040404040404
187,0.14898989898989898
188,0.05303030303030304
189,0.494949494949495
190,0.09090909090909091
191,0.1919191919191919
192,0.0707070707070707
193,0.24242424242424243
194,0.0404040404040404
195,0.0404040404040404
196,0.1919191919191919
197,0.0707070707070707
198,0.1919191919191919
199,0.0303030303030303
200,0.494949494949495
201,0.494949494949495
202,0.6212121212121212
203,0.0404040404040404
204,0.0101010101010101
205,0.0404040404040404
206,0.0707070707070707
207,0.1919191919191919
208,0.0101010101010101
209,0.021717171717171715
210,0.0707070707070707
211,0.0404040404040404
212,0.05303030303030304
213,0.30808080808080807
214,0.11616161616161617
215,0.002525252525252526
216,0.005808080808080807
217,0.3939393939393939
218,0.05303030303030304
219,0.005808080808080807
220,0.021717171717171715
221,0.0303030303030303
222,0.09090909090909091
223,0.14898989898989898
224,0.0303030303030303
225,0.021717171717171715
226,0.005808080808080807
227,0.0404040404040404
228,0.11616161616161617
229,0.11616161616161617
230,0.09090909090909091
231,0.0303030303030303
232,0.015151515151515152
233,0.0303030303030303
234,0.021717171717171715
235,0.14898989898989898
236,0.14898989898989898
237,0.14898989898989898
238,0.0707070707070707
239,0.0707070707070707
240,0.1919191919191919
241,0.6212121212121212
242,0.24242424242424243
243,0.0303030303030303
244,0.015151515151515152
245,0.0404040404040404
246,0.0707070707070707
247,0.30808080808080807
248,0.3939393939393939
249,0.11616161616161617
250,0.1919191919191919
251,0.3939393939393939
252,0.0303030303030303
253,0.021717171717171715
254,0.021717171717171715
255,0.14898989898989898
256,0.0303030303030303
257,0.6212121212121212
258,0.05303030303030304
259,0.3939393939393939
260,0.09090909090909091
261,0.11616161616161617
262,0.11616161616161617
263,0.0
264,0.05303030303030304
265,0.0404040404040404
266,0.30808080808080807
267,0.002525252525252526
268,0.11616161616161617
269,0.11616161616161617
270,0.14898989898989898
271,0.0
272,0.015151515151515152
273,0.494949494949495
274,0.0101010101010101
275,0.0707070707070707
276,0.30808080808080807
277,0.14898989898989898
278,0.09090909090909091
279,0.1919191919191919
280,0.24242424242424243
281,0.0303030303030303
282,0.0101010101010101
283,0.05303030303030304
284,0.14898989898989898
285,0.11616161616161617
286,0.05303030303030304
287,0.6212121212121212
288,0.0
289,0.09090909090909091
290,0.0707070707070707
291,0.05303030303030304
292,0.05303030303030304
293,0.0707070707070707
294,0.05303030303030304
295,0.0101010101010101
296,0.1919191919191919
297,0.6212121212121212
298,0.24242424242424243
299,0.0707070707070707
300,0.015151515151515152
301,0.09090909090909091
302,0.1919191919191919
303,0.0404040404040404
304,0.09090909090909091
305,0.24242424242424243
306,0.494949494949495
307,0.30808080808080807
308,0.24242424242424243
309,0.05303030303030304
310,0.005808080808080807
311,0.09090909090909091
312,0.3939393939393939
313,0.11616161616161617
314,0.0707070707070707
315,0.11616161616161617
316,0.494949494949495
317,0.11616161616161617
318,0.0303030303030303
319,0.0707070707070707
320,0.24242424242424243
321,0.11616161616161617
322,0.1919191919191919
323,0.14898989898989898
324,0.0
325,0.015151515151515152
326,0.3939393939393939
327,0.09090909090909091
328,0.09090909090909091
329,0.09090909090909091
330,0.24242424242424243
331,0.09090909090909091
332,0.0101010101010101
333,0.0101010101010101
334,0.0404040404040404
335,0.3939393939393939
336,0.0
337,0.0
338,0.3939393939393939
