,Thermal Distress,Launch Temperature(prediction),Leak-Check Pressure
0,0.0,70.1072156388443,50.0
1,0.0,76.47636189002161,200.0
2,0.0,70.1808978784465,50.0
3,0.0,72.64851156554184,100.0
4,2.0,53.0274683335258,200.0
5,0.0,70.13292106683163,50.0
6,0.0,76.47248677540624,200.0
7,0.0,70.18089744718883,50.0
8,2.0,59.005485960555056,200.0
9,1.0,64.04370726259039,200.0
10,0.0,76.47837392846488,200.0
11,0.0,70.14478610824843,50.0
12,1.0,67.36773215799973,200.0
13,1.0,64.0442109866164,200.0
14,1.0,67.36971687267977,200.0
15,0.0,70.13291901671968,50.0
16,1.0,67.36990307924941,200.0
17,0.0,70.13291861184571,50.0
18,1.0,64.04288290731789,200.0
19,0.0,76.46178974492918,200.0
20,0.0,72.64750229365072,100.0
21,0.0,72.64815952512842,100.0
22,0.0,76.47057943442333,200.0
23,0.0,76.46740609584535,200.0
24,0.0,76.4503502345335,200.0
25,1.0,68.68632319660763,50.0
26,0.0,72.64835564307045,100.0
27,0.0,76.46906501017773,200.0
28,0.0,76.4585882584218,200.0
29,1.0,67.36813769627933,200.0
30,2.0,57.33467558012175,200.0
31,0.0,76.4726567249552,200.0
