,Symboling,Losses,Fuel_type,Aspiration,Number_of_doors,Drive_wheels,Wheel_base,Length,Width,Height,Curb-Weight,Engine_type,Num_of_Cylinders,Engine_size,Fuel_system,Bore,Stroke,Compression_ratio,Horse_power(Prediction),Peak_rpm,City_mpg,Highway_mpg
0,2.9999999999999996,145.0,1.0,1.0,1.0,1.0,95.9,173.2,66.3,50.2,2811.0,3.0,2.0,156.0,4.0,3.6,3.9,7.0,53.975987392401336,5000.0,19.0,23.999999999999996
1,0.0,77.0,1.0,0.0,0.0,1.0,95.7,169.7,63.6,59.1,2280.0,3.0,2.0,92.0,1.0,3.05,3.03,9.0,58.82110276853261,4800.0,31.0,37.0
2,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1940.0,3.0,2.0,92.0,0.0,2.91,3.41,9.2,78.9643961531031,6000.0,30.0,34.0
3,2.9999999999999996,153.0,1.0,1.0,1.0,1.0,96.3,173.0,65.4,49.4,2370.0,3.0,2.0,110.0,6.0,3.17,3.46,7.5,160.6304089175522,5500.000000000001,23.0,30.0
4,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1956.0,3.0,2.0,92.0,0.0,2.91,3.41,9.2,77.74936994506255,6000.0,30.0,34.0
5,2.0,134.0,1.0,0.0,1.0,2.0,98.4,176.2,65.6,52.0,2551.0,3.0,2.0,146.0,5.0,3.62,3.5,9.3,48.36463365435318,4800.0,24.0,30.0
6,1.0000000000000002,122.0,1.0,0.0,1.0,2.0,112.0,199.2,72.0,55.4,3715.0,5.0,0.0,304.0,5.0,3.8000000000000003,3.35,8.0,115.7748600700234,4500.0,14.0,16.0
7,1.0000000000000002,106.99999999999999,1.0,0.0,1.0,1.0,96.5,169.1,66.0,51.0,2293.0,3.0,2.0,110.0,1.0,3.15,3.58,9.1,230.29586868061455,5500.000000000001,25.0,31.0
8,0.0,161.00000000000003,1.0,0.0,0.0,2.0,107.9,186.7,68.4,56.699999999999996,3020.0,2.0,2.0,120.0,5.0,3.46,3.19,8.4,253.33982354477106,5000.0,19.0,23.999999999999996
9,0.0,145.0,1.0,0.0,0.0,2.0,113.0,199.6,69.6,52.8,4066.0,0.0,3.0,258.0,5.0,3.63,4.17,8.1,261.4157915863643,4750.0,15.0,19.0
10,0.0,192.00000000000003,1.0,0.0,0.0,2.0,101.2,176.8,64.8,54.3,2395.0,3.0,2.0,108.0,5.0,3.5,2.8,8.8,276.47136302547284,5800.0,23.0,29.0
11,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2385.0,6.0,6.0,70.0,2.0,3.3297512437810943,3.255422885572139,9.4,109.40281214897098,6000.0,17.0,23.0
12,-1.0,95.0,1.0,0.0,0.0,2.0,109.1,188.8,68.9,55.5,3012.0,5.0,3.0,173.0,5.0,3.58,2.87,8.8,108.5271071137022,5500.000000000001,18.0,23.0
13,1.0000000000000002,117.99999999999999,1.0,1.0,1.0,1.0,93.7,157.3,63.8,50.79999999999999,2128.0,3.0,2.0,98.0,5.0,3.03,3.39,7.6,112.86400454692917,5500.000000000001,24.0,30.0
14,0.0,106.0,1.0,0.0,0.0,1.0,97.2,173.4,65.2,54.7,2324.0,3.0,2.0,120.0,1.0,3.33,3.47,8.5,71.14189002310694,5200.0,27.0,34.0
15,0.0,91.0,1.0,0.0,0.0,1.0,95.7,166.3,64.4,52.99999999999999,2094.0,3.0,2.0,98.0,1.0,3.19,3.03,9.0,285.91309920511003,4800.0,38.0,47.0
16,2.0,164.0,1.0,0.0,0.0,0.0,99.4,176.6,66.4,54.3,2824.0,3.0,1.0,136.0,5.0,3.19,3.4,8.0,160.91877274794186,5500.000000000001,18.0,22.0
17,0.0,102.0,1.0,0.0,0.0,1.0,97.2,172.0,65.4,52.5,2190.0,4.0,2.0,108.0,1.0,3.62,2.64,9.5,58.55152425386148,4400.0,28.0,33.0
18,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2380.0,6.0,6.0,70.0,2.0,3.3297512437810943,3.255422885572139,9.4,60.947249303705256,6000.0,17.0,23.0
19,1.0000000000000002,122.0,1.0,0.0,1.0,2.0,98.4,175.7,72.3,50.5,3366.0,1.0,0.0,203.0,5.0,3.9400000000000004,3.11,10.0,63.06342821286154,5750.0,17.0,28.0
20,-1.0,95.0,0.0,1.0,0.0,2.0,109.1,188.8,68.9,55.5,3217.0,3.0,3.0,145.0,3.0,3.01,3.4,23.0,103.44795801911239,4800.0,26.0,27.0
21,2.9999999999999996,256.0,1.0,0.0,1.0,1.0,94.5,165.7,64.0,51.4,2221.0,3.0,2.0,109.0,5.0,3.19,3.4,8.5,57.768066194867835,5500.000000000001,24.0,29.0
22,1.0000000000000002,168.0,1.0,0.0,1.0,2.0,94.5,168.7,64.0,52.599999999999994,2169.0,3.0,2.0,98.0,1.0,3.19,3.03,9.0,92.0586918543855,4800.0,29.0,34.0
23,0.0,110.0,1.0,0.0,0.0,1.0,96.5,163.4,64.0,54.49999999999999,2010.0,3.0,2.0,92.0,0.0,2.91,3.41,9.2,51.13175621296571,6000.0,30.0,34.0
24,2.0,134.0,1.0,0.0,1.0,2.0,98.4,176.2,65.6,52.0,2678.9999999999995,3.0,2.0,146.0,5.0,3.62,3.5,9.3,59.87830030704063,4800.0,24.0,30.0
25,-1.0,65.0,1.0,0.0,0.0,1.0,102.4,175.6,66.5,54.89999999999999,2326.0,3.0,2.0,122.0,5.0,3.31,3.54,8.7,277.2561764355173,4200.0,29.0,34.0
26,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2500.0,6.0,6.0,80.0,5.0,3.3297512437810943,3.255422885572139,9.4,153.3123845997621,6000.0,16.0,23.0
27,0.0,161.00000000000003,0.0,1.0,0.0,2.0,107.9,186.7,68.4,56.699999999999996,3197.0,2.0,2.0,152.0,3.0,3.7000000000000006,3.52,21.0,52.756819447025634,4150.0,28.0,33.0
28,-1.0,74.0,1.0,1.0,0.0,2.0,104.3,188.8,67.2,57.49999999999999,3157.0,3.0,2.0,130.0,5.0,3.62,3.15,7.5,92.79574422754712,5100.0,17.0,22.0
