,Cylinders,Displacement,Horse_power,Weight,Acceleration(prediction),Model_year,Origin
0,8.0,390.0,190.0,3850.0,19.488646207313483,70.0,1.0
1,8.0,302.0,129.0,3169.0,8.00009860262319,75.0,1.0
2,4.0,98.0,83.0,2219.0,22.72499302272371,74.0,2.0
3,6.0,250.0,100.0,3282.0,17.175323423952907,71.0,1.0
4,8.0,455.0,225.0,4951.0,8.0,73.0,1.0
5,4.0,97.0,46.0,1950.0,20.94066826004608,73.0,2.0
6,8.0,350.0,175.0,4100.0,8.0,73.0,1.0
7,4.0,151.0,90.0,2678.0,13.087175127057606,80.0,1.0
8,4.0,134.0,90.0,2711.0,16.975017117261228,80.0,3.0
9,8.0,305.0,145.0,3880.0,17.66721574414018,77.0,1.0
10,4.0,115.0,95.0,2694.0,19.676962965185417,75.0,2.0
11,4.0,108.0,75.0,2265.0,12.739352449806272,80.0,3.0
12,8.0,302.0,140.0,4294.0,8.001462698185092,72.0,1.0
13,4.0,91.0,70.0,1955.0,18.562871561691132,71.0,1.0
14,8.0,305.0,145.0,3425.0,18.50622847461092,78.0,1.0
15,8.0,302.0,140.0,4638.0,16.141391495091234,74.0,1.0
16,6.0,198.0,95.0,3102.0,10.749292279294071,74.0,1.0
17,4.0,91.0,67.0,1850.0,23.686535362633478,80.0,3.0
18,4.0,98.0,80.0,2164.0,9.53792297793504,72.0,1.0
19,4.0,121.0,98.0,2945.0,24.277885854795386,75.0,2.0
20,8.0,429.0,198.0,4341.0,20.688745692066973,70.0,1.0
21,8.0,400.0,170.0,4746.0,8.0,71.0,1.0
22,4.0,121.0,112.0,2868.0,14.930106321632202,73.0,2.0
23,4.0,151.0,90.0,2556.0,9.92063314367086,79.0,1.0
24,8.0,360.0,215.0,4615.0,8.0,70.0,1.0
25,3.0,70.0,90.0,2124.0,10.191122246090526,73.0,3.0
26,8.0,267.0,125.0,3605.0,15.473055124679162,79.0,1.0
27,6.0,231.0,105.0,3380.0,21.86106771792457,78.0,1.0
28,6.0,231.0,115.0,3245.0,16.991554143698313,79.0,1.0
29,4.0,97.0,67.0,1985.0,11.680455053576653,77.0,3.0
30,8.0,302.0,139.0,3205.0,13.203029613530555,78.0,1.0
31,4.0,141.0,71.0,3190.0,18.829058934714737,79.0,2.0
32,8.0,350.0,180.0,4380.0,15.74201840233893,76.0,1.0
33,4.0,151.0,88.0,2740.0,17.506190069901443,77.0,1.0
34,5.0,131.0,103.0,2830.0,8.820595674469619,78.0,2.0
35,4.0,86.0,65.0,2019.0,14.52398926046303,80.0,3.0
36,4.0,140.0,92.0,2572.0,17.595233914332287,76.0,1.0
37,4.0,97.5,80.0,2126.0,16.674252440375465,72.0,1.0
38,6.0,225.0,105.0,3439.0,18.443445857060535,71.0,1.0
39,8.0,318.0,150.0,4135.0,19.101403286873612,72.0,1.0
40,4.0,140.0,78.0,2592.0,21.71216380020116,75.0,1.0
41,8.0,260.0,90.0,3420.0,18.331359363357304,79.0,1.0
42,4.0,120.0,88.0,2957.0,16.050464724471542,75.0,2.0
43,4.0,122.0,85.0,2310.0,18.158577714387462,73.0,1.0
44,4.0,119.0,97.0,2405.0,9.541505125706665,78.0,3.0
45,4.0,140.0,72.0,2408.0,19.457879428119213,71.0,1.0
46,8.0,302.0,130.0,4295.0,14.250276860183071,77.0,1.0
47,4.0,98.0,70.0,2120.0,15.76708891158231,80.0,1.0
48,4.0,78.99999999999999,67.0,1963.0,17.221204333495635,74.0,2.0
49,4.0,120.0,97.0,2489.0,17.028596675530274,74.0,3.0
