,Frequency
0,4000.0
1,999.9999999999999
2,199.99999999999997
3,2500.0
4,4000.0
5,2000.0
6,500.0
7,2000.0
8,799.9999999999999
9,2000.0
10,3150.0
11,799.9999999999999
12,3150.0
13,2000.0
14,799.9999999999999
15,6300.0
16,2000.0
17,20000.0
18,3150.0
19,799.9999999999999
20,500.0
21,16000.0
22,1250.0
23,314.99999999999994
24,500.0
25,3150.0
26,16000.0
27,999.9999999999999
28,5000.0
29,500.0
30,250.0
31,199.99999999999997
32,1250.0
33,629.9999999999999
34,1599.9999999999998
35,3150.0
36,250.0
37,1599.9999999999998
38,1599.9999999999998
39,1599.9999999999998
40,999.9999999999999
41,4000.0
42,1599.9999999999998
43,10000.0
44,4000.0
45,1250.0
46,5000.0
47,5000.0
48,1599.9999999999998
49,2500.0
50,250.0
51,5000.0
52,3150.0
53,1599.9999999999998
54,500.0
55,399.99999999999994
56,629.9999999999999
57,799.9999999999999
58,2500.0
59,314.99999999999994
60,1599.9999999999998
61,5000.0
62,5000.0
63,314.99999999999994
64,500.0
65,4000.0
66,2500.0
67,3150.0
68,3150.0
69,1250.0
70,3150.0
71,500.0
72,799.9999999999999
73,500.0
74,799.9999999999999
75,500.0
76,799.9999999999999
77,999.9999999999999
78,3150.0
79,799.9999999999999
80,3150.0
81,1250.0
82,1599.9999999999998
83,2000.0
84,500.0
85,10000.0
86,1250.0
87,6300.0
88,2500.0
89,4000.0
90,2500.0
91,629.9999999999999
92,1599.9999999999998
93,8000.0
94,4000.0
95,1250.0
96,999.9999999999999
97,799.9999999999999
98,999.9999999999999
99,4000.0
100,2500.0
101,629.9999999999999
102,6300.0
103,2500.0
104,500.0
105,2000.0
106,2500.0
107,6300.0
108,3150.0
109,629.9999999999999
110,3150.0
111,6300.0
112,500.0
113,500.0
114,1250.0
115,8000.0
116,5000.0
117,500.0
118,12500.0
119,1599.9999999999998
120,3150.0
121,6300.0
122,1250.0
123,1250.0
124,1250.0
125,1599.9999999999998
126,399.99999999999994
127,314.99999999999994
128,2500.0
129,1599.9999999999998
130,629.9999999999999
131,4000.0
132,1599.9999999999998
133,1250.0
134,3150.0
135,4000.0
136,5000.0
137,6300.0
138,8000.0
139,2500.0
140,250.0
141,5000.0
142,629.9999999999999
143,999.9999999999999
144,629.9999999999999
145,999.9999999999999
146,500.0
147,8000.0
148,5000.0
149,8000.0
150,629.9999999999999
151,2500.0
152,2000.0
153,314.99999999999994
154,5000.0
155,12500.0
156,2500.0
157,1250.0
158,1250.0
159,399.99999999999994
160,399.99999999999994
161,999.9999999999999
162,999.9999999999999
163,3150.0
164,2500.0
165,2500.0
166,8000.0
167,199.99999999999997
168,4000.0
169,500.0
170,3150.0
171,629.9999999999999
172,2500.0
173,500.0
174,2000.0
175,799.9999999999999
176,4000.0
177,314.99999999999994
178,1599.9999999999998
179,10000.0
180,314.99999999999994
181,250.0
182,4000.0
183,399.99999999999994
184,2500.0
185,500.0
186,999.9999999999999
187,3150.0
188,1250.0
189,10000.0
190,2000.0
191,4000.0
192,1599.9999999999998
193,5000.0
194,999.9999999999999
195,999.9999999999999
196,4000.0
197,1599.9999999999998
198,4000.0
199,799.9999999999999
200,10000.0
201,10000.0
202,12500.0
203,999.9999999999999
204,399.99999999999994
205,999.9999999999999
206,1599.9999999999998
207,4000.0
208,399.99999999999994
209,629.9999999999999
210,1599.9999999999998
211,999.9999999999999
212,1250.0
213,6300.0
214,2500.0
215,250.0
216,314.99999999999994
217,8000.0
218,1250.0
219,314.99999999999994
220,629.9999999999999
221,799.9999999999999
222,2000.0
223,3150.0
224,799.9999999999999
225,629.9999999999999
226,314.99999999999994
227,999.9999999999999
228,2500.0
229,2500.0
230,2000.0
231,799.9999999999999
232,500.0
233,799.9999999999999
234,629.9999999999999
235,3150.0
236,3150.0
237,3150.0
238,1599.9999999999998
239,1599.9999999999998
240,4000.0
241,12500.0
242,5000.0
243,799.9999999999999
244,500.0
245,999.9999999999999
246,1599.9999999999998
247,6300.0
248,8000.0
249,2500.0
250,4000.0
251,8000.0
252,799.9999999999999
253,629.9999999999999
254,629.9999999999999
255,3150.0
256,799.9999999999999
257,12500.0
258,1250.0
259,8000.0
260,2000.0
261,2500.0
262,2500.0
263,199.99999999999997
264,1250.0
265,999.9999999999999
266,6300.0
267,250.0
268,2500.0
269,2500.0
270,3150.0
271,199.99999999999997
272,500.0
273,10000.0
274,399.99999999999994
275,1599.9999999999998
276,6300.0
