,Horsepower
0,0.39406779661016955
1,0.04237288135593223
2,0.10169491525423727
3,0.27118644067796616
4,0.10169491525423727
5,0.27118644067796616
6,0.5593220338983051
7,0.20338983050847456
8,0.19067796610169493
9,0.5254237288135594
10,0.20762711864406783
11,0.20762711864406783
12,0.34745762711864414
13,0.21186440677966104
14,0.19067796610169493
15,0.07627118644067796
16,0.26694915254237284
17,0.12711864406779663
18,0.20762711864406783
19,1.0
20,0.22881355932203393
21,0.16101694915254236
22,0.07627118644067796
23,0.10169491525423727
24,0.27118644067796616
25,0.16949152542372883
26,0.35169491525423735
27,0.18220338983050846
28,0.4661016949152542
29,0.20338983050847456
30,0.18220338983050846
31,0.15254237288135594
32,0.033898305084745756
33,0.20762711864406783
34,0.6567796610169492
35,0.13559322033898305
36,0.3008474576271186
37,0.5211864406779662
38,0.2542372881355932
39,0.18220338983050846
40,0.2627118644067796
41,0.08474576271186443
42,0.2923728813559322
43,0.39406779661016955
44,0.06779661016949154
45,0.27118644067796616
46,0.13983050847457626
47,0.24576271186440676
48,0.2542372881355932
49,0.14406779661016947
50,0.06779661016949154
51,0.4576271186440678
52,0.07203389830508475
53,0.27118644067796616
54,0.07203389830508475
55,0.15254237288135594
56,0.20762711864406783
57,0.19067796610169493
58,0.04237288135593223
59,0.07627118644067796
60,0.16101694915254236
61,0.25
62,0.24576271186440676
63,0.4576271186440678
64,0.06779661016949154
65,0.06779661016949154
66,0.15254237288135594
67,0.43644067796610175
68,0.27118644067796616
69,0.18220338983050846
70,0.2627118644067796
71,0.08898305084745764
72,0.44067796610169496
73,0.4576271186440678
74,0.4661016949152542
75,0.13559322033898305
76,0.461864406779661
77,0.06779661016949154
78,0.07627118644067796
79,0.07203389830508475
80,0.43220338983050854
81,0.25
82,0.25
83,0.21186440677966104
84,0.18220338983050846
85,0.06779661016949154
86,0.2923728813559322
87,0.12711864406779663
88,0.19067796610169493
89,0.10169491525423727
90,0.39406779661016955
91,0.07627118644067796
92,0.18220338983050846
93,0.24576271186440676
94,0.44067796610169496
95,0.6271186440677966
96,0.13559322033898305
97,0.06779661016949154
98,0.22033898305084745
99,0.3008474576271186
100,0.39406779661016955
101,0.07203389830508475
102,0.07203389830508475
103,0.04237288135593223
104,0.5508474576271186
105,0.18220338983050846
106,0.6567796610169492
107,0.07627118644067796
108,0.24576271186440676
109,0.27118644067796616
110,0.423728813559322
111,0.06779661016949154
112,0.06779661016949154
113,0.11016949152542374
114,0.4576271186440678
115,0.07203389830508475
116,0.15254237288135594
117,0.21186440677966104
118,0.13983050847457626
119,0.012711864406779655
120,0.6567796610169492
121,0.43644067796610175
122,0.16949152542372883
123,0.38559322033898313
124,0.06779661016949154
125,0.04237288135593223
126,0.3813559322033898
127,0.2627118644067796
128,0.22033898305084745
129,0.14406779661016947
130,0.27118644067796616
131,0.04237288135593223
132,0.8898305084745762
133,0.0
134,0.12711864406779663
135,0.07203389830508475
136,0.423728813559322
137,0.461864406779661
138,0.21186440677966104
139,0.01694915254237289
140,0.14406779661016947
141,0.07627118644067796
142,0.14406779661016947
