,Frequency,Angle_of_Attack(prediction),Chord_length,Free-stream_velocity,Suction_side_displacement_thickness
0,400.0,0.0,0.3048,31.7,0.0033126600000000003
1,1250.0,10.465270656767293,0.1016,31.7,0.0418756
2,2500.0,2.045339397806332,0.3048,39.6,0.00579636
3,4000.0,0.0,0.02540000000000002,31.7,0.0004394719999999998
4,5000.0,0.0,0.0508,55.5,0.0007619299999999992
5,800.0,8.816115976939573,0.02540000000000002,39.6,0.0009074749999999996
6,999.9999999999998,13.663121788177776,0.0508,31.7,0.028985300000000002
7,500.0,2.9993200017769768,0.2286,71.3,0.010440399999999999
8,400.0,10.40783209248122,0.1524,71.3,0.00752039
9,1250.0,9.877436646890452,0.1524,31.7,0.00525474
10,999.9999999999998,7.5242516377456745,0.0508,31.7,0.0008121640000000006
11,8000.0,2.6710939502361315,0.3048,39.6,0.00495741
12,1600.0,5.749684335571064,0.02540000000000002,71.3,0.012180799999999999
13,1600.0,3.995910016846575,0.02540000000000002,71.3,0.004206539999999999
14,1600.0,7.97697660199603,0.2286,55.5,0.011170600000000001
15,6300.0,17.732055056183896,0.1016,39.6,0.04082680000000001
16,999.9999999999998,7.777174096441736,0.2286,39.6,0.00614329
17,315.0,8.119537031630804,0.1524,39.6,0.00909175
18,999.9999999999998,6.795102996489168,0.2286,71.3,0.00293031
19,400.0,10.38304596446649,0.0508,55.5,0.00544854
20,4000.0,0.0,0.1524,39.6,0.0019328699999999997
21,10000.0,2.4317811232603903,0.0508,71.3,0.0007404779999999993
22,5000.0,11.02359150372511,0.1524,31.7,0.025278500000000002
23,500.0,0.9605702376547693,0.2286,71.3,0.00293031
24,315.0,16.624535559264423,0.0508,39.6,0.0282593
25,6300.0,0.12420369847036739,0.1016,39.6,0.0014633200000000006
26,999.9999999999998,10.5166640171269,0.0508,39.6,0.0015268899999999995
27,800.0,4.2876115758982625,0.2286,39.6,0.00614329
28,5000.0,19.045788065553886,0.1016,39.6,0.04082680000000001
29,200.0,12.606336393783884,0.1016,71.3,0.0437259
30,999.9999999999998,5.581401349461345,0.02540000000000002,39.6,0.0172206
31,8000.0,1.437796832078373,0.1524,71.3,0.001598800000000001
32,1250.0,16.336726532557073,0.1524,39.6,0.00909175
33,8000.0,11.132842600654342,0.02540000000000002,39.6,0.013025299999999998
34,4000.0,3.6250338009569787,0.3048,71.3,0.00497773
35,200.0,3.8917321813718853,0.1016,71.3,0.0103088
36,2500.0,0.0,0.0508,39.6,0.0007918219999999993
37,500.0,6.240971732015965,0.2286,71.3,0.0051942
38,4000.0,12.024901276228915,0.02540000000000002,39.6,0.0172206
39,2500.0,18.021081544396022,0.1016,31.7,0.0418756
40,2500.0,4.893107819754315,0.2286,71.3,0.00400603
41,5000.0,2.532673923425892,0.02540000000000002,55.5,0.0008732180000000003
42,999.9999999999998,15.428171304537848,0.1524,71.3,0.019300099999999997
43,200.0,22.2,0.0508,31.7,0.028985300000000002
44,315.0,2.147272442903068,0.3048,39.6,0.00579636
45,4000.0,5.917843777185061,0.02540000000000002,55.5,0.0008732180000000003
46,999.9999999999998,11.183324401199142,0.0508,55.5,0.0271925
47,5000.0,14.60305408133821,0.0508,55.5,0.0271925
48,10000.0,1.5506375438534663,0.1016,71.3,0.0012107200000000002
49,3150.0,9.813924052843722,0.02540000000000002,71.3,0.0008486329999999997
50,2500.0,0.0,0.1016,31.7,0.0015009199999999993
51,8000.0,1.8874170215086838,0.3048,71.3,0.00336729
52,8000.0,1.6971581655822412,0.02540000000000002,39.6,0.0009074749999999996
53,200.0,10.911882160589798,0.1524,31.7,0.025278500000000002
54,999.9999999999998,7.062825903830122,0.3048,71.3,0.00336729
55,4000.0,11.638545360343787,0.02540000000000002,31.7,0.017663099999999998
56,3150.0,0.0,0.2286,31.7,0.0027238
57,800.0,4.156716454201144,0.1524,39.6,0.002948039999999999
58,250.0,1.2066029224971553,0.3048,31.7,0.0033126600000000003
59,5000.0,3.2908505175844995,0.2286,71.3,0.00400603
60,2000.0,1.5294507879203731,0.3048,71.3,0.00336729
61,4000.0,0.0,0.0508,55.5,0.0007619299999999992
62,630.0,1.2437065198176507,0.1524,31.7,0.00525474
63,2000.0,6.861843206579723,0.0508,71.3,0.00529514
64,5000.0,1.2334356347094966,0.2286,31.7,0.003723709999999999
65,2000.0,13.91002972442018,0.02540000000000002,31.7,0.017663099999999998
66,6300.0,10.905070046124589,0.02540000000000002,71.3,0.004206539999999999
67,2000.0,19.050734331897335,0.0508,71.3,0.034118300000000004
68,630.0,5.15832647270365,0.1524,39.6,0.0019328699999999997
69,999.9999999999998,0.0,0.2286,39.6,0.00253511
70,800.0,0.7749091974660782,0.1524,31.7,0.00209405
71,1600.0,5.31752379013102,0.0508,31.7,0.0008121640000000006
72,630.0,1.890676429122851,0.2286,39.6,0.00346574
73,4000.0,21.337712151218703,0.0508,31.7,0.028985300000000002
74,1600.0,7.717048989208574,0.0508,39.6,0.0007918219999999993
75,4000.0,9.017961288890339,0.02540000000000002,71.3,0.012180799999999999
76,250.0,6.430960263529777,0.2286,39.6,0.0123481
77,1600.0,1.7095689236235279,0.1016,39.6,0.0024513799999999995
78,3150.0,5.084288784354402,0.02540000000000002,39.6,0.00042846399999999993
79,8000.0,0.0,0.02540000000000002,39.6,0.00042846399999999993
80,800.0,22.2,0.0508,31.7,0.028985300000000002
81,5000.0,17.181515080949623,0.02540000000000002,31.7,0.017663099999999998
82,200.0,0.0,0.3048,39.6,0.003101380000000001
83,2500.0,19.891374586353237,0.02540000000000002,55.5,0.016570599999999998
84,6300.0,16.039149850865535,0.02540000000000002,31.7,0.0046137700000000005
85,999.9999999999998,10.94245322870243,0.1016,39.6,0.0528487
86,10000.0,4.0158266391869875,0.3048,31.7,0.0033126600000000003
87,999.9999999999998,1.5675078988050455,0.02540000000000002,39.6,0.00449821
88,6300.0,5.383033587069646,0.2286,71.3,0.010440399999999999
89,8000.0,3.9766370737114367,0.1016,55.5,0.0022109999999999994
90,5000.0,2.338020547993284,0.3048,55.5,0.00452492
91,315.0,22.2,0.02540000000000002,55.5,0.016570599999999998
92,400.0,20.515761781615687,0.0508,31.7,0.028985300000000002
93,1250.0,10.301913755468489,0.1016,71.3,0.0103088
94,6300.0,1.968208393607589,0.3048,55.5,0.00452492
95,6300.0,5.318155663098894,0.1524,55.5,0.00433288
96,12500.0,0.0,0.1524,55.5,0.0017266799999999995
97,5000.0,17.628318354927423,0.0508,39.6,0.0282593
98,1250.0,2.986278436759168,0.1016,39.6,0.0014633200000000006
99,5000.0,0.570394891032131,0.1524,55.5,0.0017266799999999995
100,2000.0,0.0,0.1524,39.6,0.0019328699999999997
101,5000.0,18.46073637982731,0.1016,31.7,0.0418756
102,630.0,7.005367276836629,0.1016,71.3,0.033779199999999995
103,1600.0,10.671657488453532,0.1524,39.6,0.0233328
104,630.0,16.369217944669373,0.0508,71.3,0.034118300000000004
105,315.0,7.0949076699165,0.1016,39.6,0.04082680000000001
106,6300.0,0.0,0.3048,39.6,0.003101380000000001
107,2500.0,0.7788250233071805,0.3048,31.7,0.0033126600000000003
108,500.0,5.8525020304486475,0.1016,31.7,0.00592927
109,315.0,21.121759538955544,0.02540000000000002,71.3,0.0214178
110,4000.0,0.8967763184759185,0.3048,55.5,0.0028308099999999996
111,2000.0,7.820645635549377,0.02540000000000002,55.5,0.004328399999999999
112,8000.0,1.4070006520612797,0.0508,31.7,0.0008121640000000006
113,4000.0,7.394805340911836,0.02540000000000002,71.3,0.004206539999999999
114,315.0,18.47870179308177,0.02540000000000002,39.6,0.022902799999999997
115,5000.0,0.0,0.0508,31.7,0.0008121640000000006
116,2500.0,6.606770959304336,0.2286,39.6,0.0123481
117,8000.0,2.2844514833810816,0.2286,39.6,0.00473801
118,1600.0,10.83560940176266,0.02540000000000002,39.6,0.013025299999999998
119,2000.0,21.365866491592953,0.1016,39.6,0.04082680000000001
120,800.0,0.0,0.3048,55.5,0.00452492
121,1600.0,10.258881803892908,0.02540000000000002,39.6,0.00449821
122,999.9999999999998,5.873638743285908,0.1524,55.5,0.0017266799999999995
123,800.0,0.0,0.2286,31.7,0.003723709999999999
124,4000.0,22.2,0.1524,71.3,0.0483159
125,1600.0,14.511969210419231,0.1524,39.6,0.00909175
126,800.0,8.719756489270074,0.2286,39.6,0.0123481
127,3150.0,20.685432607556002,0.0508,71.3,0.034118300000000004
128,4000.0,1.375200517401903,0.0508,39.6,0.0015268899999999995
129,3150.0,21.507021640220334,0.1524,39.6,0.058411300000000006
130,3150.0,0.0,0.1016,31.7,0.0015009199999999993
131,500.0,4.646010127944926,0.2286,55.5,0.003135249999999999
