,Frequency,Angle_of_Attack,Chord_length,Free-stream_velocity(prediction),Suction_side_displacement_thickness
0,1000.0,2.0,0.2286,62.58478417270854,0.00293031
1,1000.0,2.0,0.2286,62.58478417270854,0.00293031
2,1000.0,2.0,0.2286,62.58478417270854,0.00293031
3,1000.0,2.0,0.2286,62.442180720220236,0.00293031
4,1000.0,2.0,0.2286,62.192404395602,0.00293031
5,1000.0,2.0,0.2286,62.01756096836923,0.00293031
6,1000.0,2.0,0.2286,61.895170569306295,0.00293031
7,1000.0,2.0,0.2286,61.80949728996224,0.00293031
8,1000.0,2.0,0.2286,61.80949728996224,0.00293031
9,1000.0,2.0,0.2286,61.80949728996224,0.00293031
10,1000.0,2.0,0.2286,61.80949728996224,0.00293031
11,1000.0,2.0,0.2286,61.81844684640845,0.00293031
12,1000.0,2.0,0.2286,61.81844684640845,0.00293031
13,1000.0,2.0,0.2286,61.81844684640845,0.00293031
14,1000.0,2.0,0.2286,61.81844684640845,0.00293031
15,1000.0,2.0,0.2286,61.81844684640845,0.00293031
16,1000.0,2.0,0.2286,61.81844684640845,0.00293031
17,1000.0,2.0,0.2286,61.81844684640845,0.00293031
18,1000.0,2.0,0.2286,61.81844684640845,0.00293031
19,1000.0,2.0,0.2286,61.83719592171907,0.00293031
20,1000.0,2.0,0.2286,61.8318298707295,0.00293031
21,1000.0,2.0,0.2286,61.8318298707295,0.00293031
22,1000.0,2.0,0.2286,61.8318298707295,0.00293031
23,1000.0,2.0,0.2286,61.8318298707295,0.00293031
24,1000.0,2.0,0.2286,61.8318298707295,0.00293031
25,1000.0,2.0,0.2286,61.8318298707295,0.00293031
26,1000.0,2.0,0.2286,61.8318298707295,0.00293031
27,1000.0,2.0,0.2286,61.8318298707295,0.00293031
28,1000.0,2.0,0.2286,61.8318298707295,0.00293031
29,1000.0,2.0,0.2286,61.8318298707295,0.00293031
30,1000.0,2.0,0.2286,61.8318298707295,0.00293031
31,1000.0,2.0,0.2286,61.8318298707295,0.00293031
