,Cylinders,Displacement,Horse_power,Weight,Acceleration,Model_year,Origin
0,4.0,97.0,88.0,2100.0,16.5,72.0,3.0
1,6.0,225.0,100.0,3233.0,15.4,76.0,1.0
2,4.0,140.0,75.0,2542.0,17.0,74.0,1.0
3,4.0,98.0,68.0,2155.0,16.5,78.0,1.0
4,6.0,173.0,115.0,2700.0,12.9,79.0,1.0
5,4.0,108.0,93.0,2391.0,15.5,74.0,3.0
6,4.0,98.0,80.0,1915.0,14.4,79.0,1.0
7,6.0,200.0,85.0,2587.0,16.0,70.0,1.0
8,4.0,111.0,80.0,2155.0,14.8,77.0,1.0
9,4.0,84.99999999999999,65.0,2020.0,19.2,79.0,3.0
10,4.0,79.0,70.0,2074.0,19.5,71.0,2.0
11,8.0,350.0,145.0,4082.0,13.0,73.0,1.0
12,4.0,86.0,64.0,1875.0,16.4,81.0,1.0
13,4.0,79.0,58.0,1825.0,18.6,77.0,2.0
14,4.0,119.0,82.0,2720.0,19.4,82.0,1.0
15,8.0,304.0,150.0,4257.0,15.5,74.0,1.0
16,4.0,134.0,90.0,2711.0,15.5,80.0,3.0
17,6.0,225.0,100.0,3630.0,17.7,77.0,1.0
18,6.0,250.0,100.0,3278.0,18.0,73.0,1.0
19,8.0,305.0,140.0,4215.0,13.0,76.0,1.0
20,8.0,350.0,150.0,4699.0,14.5,74.0,1.0
21,4.0,89.99999999999999,75.0,2125.0,14.5,74.0,1.0
22,8.0,400.0,175.0,4464.0,11.5,71.0,1.0
23,8.0,318.0,150.0,4077.0,14.0,72.0,1.0
24,4.0,156.0,105.0,2800.0,14.4,80.0,1.0
25,6.0,200.0,85.0,3070.0,16.7,78.0,1.0
26,6.0,200.0,95.0,3155.0,18.2,78.0,1.0
27,4.0,140.0,88.0,2890.0,17.3,79.0,1.0
28,4.0,134.0,96.0,2702.0,13.5,75.0,3.0
29,4.0,101.0,83.0,2202.0,15.3,76.0,2.0
30,8.0,307.0,200.0,4376.0,15.0,70.0,1.0
31,8.0,305.0,145.0,3425.0,13.2,78.0,1.0
32,4.0,151.0,85.0,2855.0,17.6,78.0,1.0
33,6.0,155.0,107.0,2472.0,14.0,73.0,1.0
34,4.0,108.0,94.0,2379.0,16.5,73.0,3.0
35,4.0,135.0,84.0,2490.0,15.7,81.0,1.0
36,6.0,225.0,85.0,3465.0,16.6,81.0,1.0
37,4.0,116.0,81.0,2220.0,16.9,76.0,2.0
38,4.0,121.0,115.0,2671.0,13.5,75.0,2.0
39,8.0,400.0,167.0,4906.0,12.5,73.0,1.0
40,6.0,250.0,100.0,3781.0,17.0,74.0,1.0
41,6.0,171.0,97.0,2984.0,14.5,75.0,1.0
42,8.0,318.0,150.0,3777.0,12.5,73.0,1.0
43,4.0,97.0,60.0,1834.0,19.0,71.0,2.0
44,4.0,119.0,100.0,2615.0,14.8,81.0,3.0
