,Symboling,Losses,Fuel_type,Aspiration,Number_of_doors,Drive_wheels,Wheel_base,Length,Width,Height,Curb-Weight,Engine_type,Num_of_Cylinders,Engine_size,Fuel_system,Bore,Stroke,Compression_ratio,Horse_power(Prediction),Peak_rpm,City_mpg,Highway_mpg
0,2.9999999999999996,145.0,1.0,1.0,1.0,1.0,95.9,173.2,66.3,50.2,2811.0,3.0,2.0,156.0,4.0,3.92191362784067,3.9,7.0,145.0,5000.0,19.0,23.999999999999996
1,0.0,77.0,1.0,0.0,0.0,1.0,95.7,169.7,63.6,59.1,2280.0,3.0,2.0,92.0,1.0,2.658796493710699,3.03,9.0,62.00000000000001,4800.0,31.0,37.0
2,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1940.0,3.0,2.0,92.0,0.0,3.5415347228701206,3.41,9.2,76.0,6000.0,30.0,34.0
3,2.9999999999999996,153.0,1.0,1.0,1.0,1.0,96.3,173.0,65.4,49.4,2370.0,3.0,2.0,110.0,6.0,2.9732571671135863,3.46,7.5,116.0,5500.000000000001,23.0,30.0
4,1.0000000000000002,101.0,1.0,0.0,1.0,1.0,93.7,150.0,64.0,52.599999999999994,1956.0,3.0,2.0,92.0,0.0,3.134445212627527,3.41,9.2,76.0,6000.0,30.0,34.0
5,2.0,134.0,1.0,0.0,1.0,2.0,98.4,176.2,65.6,52.0,2551.0,3.0,2.0,146.0,5.0,3.8706269659034604,3.5,9.3,116.0,4800.0,24.0,30.0
6,1.0000000000000002,122.0,1.0,0.0,1.0,2.0,112.0,199.2,72.0,55.4,3715.0,5.0,0.0,304.0,5.0,2.556091093799343,3.35,8.0,184.0,4500.0,14.0,16.0
7,1.0000000000000002,106.99999999999999,1.0,0.0,1.0,1.0,96.5,169.1,66.0,51.0,2293.0,3.0,2.0,110.0,1.0,3.5919290875553225,3.58,9.1,100.0,5500.000000000001,25.0,31.0
8,0.0,161.00000000000003,1.0,0.0,0.0,2.0,107.9,186.7,68.4,56.699999999999996,3020.0,2.0,2.0,120.0,5.0,3.77863896063424,3.19,8.4,97.0,5000.0,19.0,23.999999999999996
9,0.0,145.0,1.0,0.0,0.0,2.0,113.0,199.6,69.6,52.8,4066.0,0.0,3.0,258.0,5.0,3.2059706846159184,4.17,8.1,176.0,4750.0,15.0,19.0
10,0.0,192.00000000000003,1.0,0.0,0.0,2.0,101.2,176.8,64.8,54.3,2395.0,3.0,2.0,108.0,5.0,2.7379568497162285,2.8,8.8,101.0,5800.0,23.0,29.0
11,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2385.0,6.0,6.0,70.0,2.0,2.634893391137914,3.255422885572139,9.4,101.0,6000.0,17.0,23.0
12,-1.0,95.0,1.0,0.0,0.0,2.0,109.1,188.8,68.9,55.5,3012.0,5.0,3.0,173.0,5.0,3.1139678679795066,2.87,8.8,134.0,5500.000000000001,18.0,23.0
13,1.0000000000000002,117.99999999999999,1.0,1.0,1.0,1.0,93.7,157.3,63.8,50.79999999999999,2128.0,3.0,2.0,98.0,5.0,2.661325389893406,3.39,7.6,102.0,5500.000000000001,24.0,30.0
14,0.0,106.0,1.0,0.0,0.0,1.0,97.2,173.4,65.2,54.7,2324.0,3.0,2.0,120.0,1.0,3.757497439331739,3.47,8.5,97.0,5200.0,27.0,34.0
15,0.0,91.0,1.0,0.0,0.0,1.0,95.7,166.3,64.4,52.99999999999999,2094.0,3.0,2.0,98.0,1.0,2.5425330905677486,3.03,9.0,70.0,4800.0,38.0,47.0
16,2.0,164.0,1.0,0.0,0.0,0.0,99.4,176.6,66.4,54.3,2824.0,3.0,1.0,136.0,5.0,2.662367627066493,3.4,8.0,114.99999999999999,5500.000000000001,18.0,22.0
17,0.0,102.0,1.0,0.0,0.0,1.0,97.2,172.0,65.4,52.5,2190.0,4.0,2.0,108.0,1.0,3.927407885558144,2.64,9.5,82.0,4400.0,28.0,33.0
18,2.9999999999999996,150.0,1.0,0.0,1.0,2.0,95.3,169.0,65.7,49.599999999999994,2380.0,6.0,6.0,70.0,2.0,3.68911117227316,3.255422885572139,9.4,101.0,6000.0,17.0,23.0
19,1.0000000000000002,122.0,1.0,0.0,1.0,2.0,98.4,175.7,72.3,50.5,3366.0,1.0,0.0,203.0,5.0,3.850780661933378,3.11,10.0,288.0,5750.0,17.0,28.0
20,-1.0,95.0,0.0,1.0,0.0,2.0,109.1,188.8,68.9,55.5,3217.0,3.0,3.0,145.0,3.0,2.5705667173544975,3.4,23.0,106.0,4800.0,26.0,27.0
21,2.9999999999999996,256.0,1.0,0.0,1.0,1.0,94.5,165.7,64.0,51.4,2221.0,3.0,2.0,109.0,5.0,3.627995208061735,3.4,8.5,90.0,5500.000000000001,24.0,29.0
