,Particle,Gbest,W,c1,c2,r1,r2,velocity
0,0.41251331550330195,0.6632907878504417,0.739234,0.5,0.5,0.8351101711292293,0.07746490893370139,-0.0006686762672043898
1,0.6953775609019797,0.9406468312989212,0.739234,0.5,0.5,0.2426983501238964,0.8214639739440003,0.0007887996608587776
2,0.40562878866410434,0.650575879007565,0.739234,0.5,0.5,0.5995520268155402,0.6081975689823553,-0.0005921055170089275
3,0.22396290438626487,0.5927142976846514,0.739234,0.5,0.5,0.3848379934467362,0.15762215883314978,0.00047424859006817903
4,0.638880242123087,0.48382237523554505,0.739234,0.5,0.5,0.804098336159914,0.6881439239770893,-0.00032504095192054615
5,0.31072563444528584,0.20190595209779438,0.739234,0.5,0.5,0.27098120315528873,0.6684958455134152,-3.073697697760977e-05
6,0.2929056335429252,0.130496417851515,0.739234,0.5,0.5,0.6952484219588748,0.16451157346816692,0.00010839891218960272
7,0.6797379870742519,0.5222608021597566,0.739234,0.5,0.5,0.0019670785222862808,0.7400361317198317,0.0005182336014251075
8,0.813607836725463,0.9807244878926792,0.739234,0.5,0.5,0.2436417760327727,0.21917432134055104,0.0008407959178852505
9,0.270687149219718,0.7599159564256306,0.739234,0.5,0.5,0.16418506581590908,0.654975555131085,0.0008741538152041808
10,0.3240149623813424,0.24885426722202908,0.739234,0.5,0.5,0.9484985033103903,0.9334069117971426,0.00042956827274153635
11,0.9608070509165586,0.2857096861818208,0.739234,0.5,0.5,0.5509924621092577,0.6015509685185242,-0.00025209437045470057
12,0.1898523977621448,0.9856281176186339,0.739234,0.5,0.5,0.2610178806023147,0.3285899045130197,0.0007392576273627836
13,0.2941494988337355,0.29207347254612437,0.739234,0.5,0.5,0.3968483697576606,0.38329022557235315,0.0005079689612363875
14,0.6151348414518621,0.4149218193753102,0.739234,0.5,0.5,0.566966842664242,0.11804079967544423,-0.0005946506824447428
15,0.06290801102702975,0.4080853053263757,0.739234,0.5,0.5,0.5665186013880256,0.5686615053907367,-0.0008568483780086966
16,0.37223427600195147,0.8247976062785036,0.739234,0.5,0.5,0.05370749470860492,0.22850427068388668,-9.423640990064276e-05
17,0.19340139640667836,0.49284951605518745,0.739234,0.5,0.5,0.7286682998544884,0.6758654477322602,-0.0009713795355732248
18,0.2311521223695019,0.6610260672223034,0.739234,0.5,0.5,0.9886418333234233,0.5779654184646817,9.653489409011304e-05
19,0.2690035688855626,0.7984972060757677,0.739234,0.5,0.5,0.014162849083981355,0.6782460468664835,-0.0004802949907434955
20,0.8057405908266959,0.3706352813365431,0.739234,0.5,0.5,0.04957673969096854,0.2760310753428047,0.0006447419769290397
21,0.5597255501423213,0.1716762865316781,0.739234,0.5,0.5,0.7607325826530799,0.43005779747680783,-0.00016291030536497544
22,0.8332520165033193,0.521189339707443,0.739234,0.5,0.5,0.8880938370059788,0.20579130313722582,-0.0006289726317343596
23,0.3804017397599031,0.46127899590430355,0.739234,0.5,0.5,0.7764133505606958,0.9654431608037114,-0.0004891587756738778
24,0.738594040505524,0.9412300656714373,0.739234,0.5,0.5,0.3045275888910538,0.6290282291843166,-0.0008445967262859004
25,0.056932118889333735,0.9864517655473832,0.739234,0.5,0.5,0.7439385893710353,0.9844012506541775,0.0008705086274009653
26,0.36111783331171127,0.7769885492928348,0.739234,0.5,0.5,0.9678772487037319,0.17639703014888986,5.678550772270389e-05
27,0.18285344067352255,0.5976590589496028,0.739234,0.5,0.5,0.8986181444002643,0.8044675797937735,0.00024173583312220152
28,0.5459562603020969,0.38365819210466434,0.739234,0.5,0.5,0.9515710181883471,0.5730211181930743,-0.0007427054297209983
